  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  7Feb24 ??       197:41.57 /sbin/launchd
    0   306     1   0  7Feb24 ??        86:37.94 /usr/libexec/logd
    0   308     1   0  7Feb24 ??         4:23.83 /usr/libexec/UserEventAgent (System)
    0   310     1   0  7Feb24 ??         0:40.21 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0   311     1   0  7Feb24 ??        64:13.42 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   312     1   0  7Feb24 ??         4:38.03 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   315     1   0  7Feb24 ??         1:37.02 /usr/sbin/systemstats --daemon
    0   318     1   0  7Feb24 ??         8:14.22 /usr/libexec/configd
    0   320     1   0  7Feb24 ??        43:21.45 /System/Library/CoreServices/powerd.bundle/powerd
    0   321     1   0  7Feb24 ??         0:07.29 /usr/libexec/IOMFB_bics_daemon
    0   326     1   0  7Feb24 ??         0:00.46 /usr/libexec/remoted
    0   331     1   0  7Feb24 ??         0:37.31 /usr/libexec/watchdogd
    0   335     1   0  7Feb24 ??        83:36.67 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0   337     1   0  7Feb24 ??         0:01.85 /usr/libexec/kernelmanagerd
    0   338     1   0  7Feb24 ??         0:56.04 /usr/libexec/diskarbitrationd
    0   342     1   0  7Feb24 ??         1:04.04 /usr/sbin/syslogd
    0   345     1   0  7Feb24 ??         3:36.52 /usr/libexec/thermalmonitord
    0   346     1   0  7Feb24 ??        19:36.07 /usr/libexec/opendirectoryd
    0   347     1   0  7Feb24 ??         4:48.09 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   348     1   0  7Feb24 ??         9:33.41 /System/Library/CoreServices/launchservicesd
  266   349     1   0  7Feb24 ??         0:27.52 /usr/libexec/timed
  213   350     1   0  7Feb24 ??         0:06.85 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   351     1   0  7Feb24 ??         1:51.24 /usr/sbin/securityd -i
  205   353     1   0  7Feb24 ??        36:51.88 /usr/libexec/locationd
    0   355     1   0  7Feb24 ??         0:00.07 autofsd
    0   356     1   0  7Feb24 ??        13:58.55 /usr/libexec/dasd
  241   358     1   0  7Feb24 ??         5:53.62 /usr/sbin/distnoted daemon
    0   362     1   0  7Feb24 ??         0:00.94 /System/Library/CoreServices/logind
    0   363     1   0  7Feb24 ??         6:03.47 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   364     1   0  7Feb24 ??         0:00.06 /usr/sbin/KernelEventAgent
    0   367     1   0  7Feb24 ??        60:35.18 /usr/sbin/bluetoothd
    0   368     1   0  7Feb24 ??        10:58.20 /usr/sbin/notifyd
    0   370     1   0  7Feb24 ??        31:17.84 /usr/libexec/corebrightnessd --launchd
    0   371     1   0  7Feb24 ??         1:34.28 /usr/libexec/AirPlayXPCHelper
    0   372     1   0  7Feb24 ??         0:26.92 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
   88   374     1   0  7Feb24 ??       2775:36.49 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
    0   375     1   0  7Feb24 ??         7:42.26 /usr/sbin/cfprefsd daemon
  501   378     1   0  7Feb24 ??        11:33.70 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   384     1   0  7Feb24 ??        98:37.74 /usr/libexec/runningboardd
    0   385     1   0  7Feb24 ??         0:29.36 /System/Library/CoreServices/coreservicesd
    0   389     1   0  7Feb24 ??         2:12.80 /usr/libexec/lsd runAsRoot
    0   391     1   0  7Feb24 ??         5:16.58 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   410     1   0  7Feb24 ??         1:30.60 /usr/libexec/apfsd
  242   411     1   0  7Feb24 ??        14:02.07 /usr/libexec/nsurlsessiond --privileged
    0   412     1   0  7Feb24 ??       105:25.46 /usr/libexec/airportd
  263   416     1   0  7Feb24 ??        48:16.45 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    0   429     1   0  7Feb24 ??         1:32.43 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   437     1   0  7Feb24 ??         0:14.25 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   441     1   0  7Feb24 ??         0:20.88 /usr/sbin/distnoted agent
   24   444     1   0  7Feb24 ??         8:27.78 /usr/libexec/symptomsd
   65   454     1   0  7Feb24 ??        22:35.27 /usr/sbin/mDNSResponder
  202   462     1   0  7Feb24 ??         0:19.44 /usr/sbin/distnoted agent
    0   468     1   0  7Feb24 ??         0:20.26 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
   88   472     1   0  7Feb24 ??         0:17.19 /usr/sbin/distnoted agent
    0   474     1   0  7Feb24 ??         0:56.68 /usr/sbin/mDNSResponderHelper
    0   487     1   0  7Feb24 ??         1:10.91 /usr/libexec/storagekitd
    0   493     1   0  7Feb24 ??        11:34.13 /usr/libexec/syspolicyd
    0   494     1   0  7Feb24 ??        17:05.37 /usr/libexec/audioclocksyncd
  200   495     1   0  7Feb24 ??        12:33.94 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  242   499     1   0  7Feb24 ??         0:17.72 /usr/sbin/distnoted agent
  262   501     1   0  7Feb24 ??         0:17.65 /usr/sbin/distnoted agent
  205   509     1   0  7Feb24 ??         0:17.54 /usr/sbin/distnoted agent
    0   513     1   0  7Feb24 ??         0:01.53 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  200   514     1   0  7Feb24 ??         0:19.87 /usr/sbin/distnoted agent
  270   517     1   0  7Feb24 ??         0:00.69 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000df2 com.apple.DriverKit-IOUserDockChannelSerial
  270   520     1   0  7Feb24 ??         0:22.39 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000df3 com.apple.AppleUserHIDDrivers
   55   521     1   0  7Feb24 ??         0:09.58 /System/Library/CoreServices/appleeventsd --server
  262   523     1   0  7Feb24 ??       126:08.75 /usr/sbin/appleh13camerad
  262   526     1   0  7Feb24 ??         0:02.81 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
    0   532     1   0  7Feb24 ??         0:04.87 /usr/libexec/wifianalyticsd
    0   533     1   0  7Feb24 ??         0:06.94 /usr/sbin/BTLEServer
    0   537     1   0  7Feb24 ??        21:43.15 /usr/libexec/searchpartyd
    0   542     1   0  7Feb24 ??       155:45.18 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   546     1   0  7Feb24 ??         0:08.03 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   547     1   0  7Feb24 ??        12:16.96 /usr/sbin/distnoted agent
  501   548     1   0  7Feb24 ??         8:05.07 /usr/sbin/cfprefsd agent
    0   549     1   0  7Feb24 ??         0:00.07 /usr/libexec/securityd_service
  501   555     1   0  7Feb24 ??         6:09.44 /usr/libexec/UserEventAgent (Aqua)
  501   561     1   0  7Feb24 ??         1:19.17 /usr/sbin/universalaccessd launchd -s
  501   563     1   0  7Feb24 ??        28:38.49 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   566     1   0  7Feb24 ??         9:10.16 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   567     1   0  7Feb24 ??         1:59.72 /usr/libexec/lsd
  501   568     1   0  7Feb24 ??       308:21.08 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   569     1   0  7Feb24 ??         0:27.30 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   570     1   0  7Feb24 ??        66:58.21 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   577     1   0  7Feb24 ??        12:34.79 /usr/libexec/secd
  501   578     1   0  7Feb24 ??         0:20.04 /usr/libexec/pboard
  501   580     1   0  7Feb24 ??         4:43.13 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
   55   581     1   0  7Feb24 ??         0:19.28 /usr/sbin/distnoted agent
    0   585     1   0  7Feb24 ??        21:08.77 /usr/sbin/filecoordinationd
  501   589     1   0  7Feb24 ??         0:19.31 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
    0   592     1   0  7Feb24 ??         0:02.30 automountd
  501   595     1   0  7Feb24 ??         0:16.97 /System/Library/CoreServices/sharedfilelistd
  501   596     1   0  7Feb24 ??       1199:44.69 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   597     1   0  7Feb24 ??         0:02.76 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501   603     1   0  7Feb24 ??         0:31.49 /usr/sbin/usernoted
  501   606     1   0  7Feb24 ??         5:15.04 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   609     1   0  7Feb24 ??        22:52.00 /usr/libexec/nsurlsessiond
  501   613     1   0  7Feb24 ??         3:27.55 /usr/libexec/rapportd
  501   615     1   0  7Feb24 ??         6:10.32 /usr/libexec/ContinuityCaptureAgent server
  501   616     1   0  7Feb24 ??         1:58.22 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    0   621     1   0  7Feb24 ??         0:02.11 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  268   622     1   0  7Feb24 ??        15:59.49 /usr/libexec/nearbyd
  501   624     1   0  7Feb24 ??         5:05.91 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   626     1   0  7Feb24 ??         0:06.42 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
  501   629     1   0  7Feb24 ??         3:52.16 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   631     1   0  7Feb24 ??        10:11.48 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   635     1   0  7Feb24 ??         0:36.79 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  501   637     1   0  7Feb24 ??         0:00.54 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   644     1   0  7Feb24 ??        24:08.25 /usr/libexec/sharingd
  441   645     1   0  7Feb24 ??         0:04.97 /usr/libexec/rosetta/oahd
  501   648     1   0  7Feb24 ??         0:55.85 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   652     1   0  7Feb24 ??         6:43.78 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   654     1   0  7Feb24 ??         1:30.07 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
   89   658     1   0  7Feb24 ??         0:18.61 /usr/sbin/distnoted agent
  501   670     1   0  7Feb24 ??        19:47.62 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501   672     1   0  7Feb24 ??         3:16.13 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
